# Exact Urdu transliteration dictionary -- the 9,994 most frequent Urdu word
# forms (Dakshina Urdu Wikipedia counts), reviewed (data/SOURCES.md). Columns:
#   urdu <TAB> devanagari <TAB> roman (plain) <TAB> rekhta (diacritic roman)
# Built by training/translit/build_dictionary.py; edit dictionary_fixes.txt
# and rebuild rather than editing this file by hand.
کے	के	ke	ke
میں	में	mein	meñ
کی	की	ki	kī
اور	और	aur	aur
ہے	है	hai	hai
سے	से	se	se
کا	का	ka	kā
اس	इस	is	is
کو	को	ko	ko
نے	ने	ne	ne
ہیں	हैं	hain	haiñ
پر	पर	par	par
ایک	एक	ek	ek
یہ	ये	ye	ye
ان	उन	un	un
کہ	कि	ki	ki
بھی	भी	bhi	bhī
کر	कर	kar	kar
کیا	क्या	kya	kyā
ء	ई.	AD	AD
تھا	था	tha	thā
وہ	वो	wo	vo
جو	जो	jo	jo
لیے	लिए	liye	liye
و	व	wa	va
یا	या	ya	yā
ہو	हो	ho	ho
تھے	थे	the	the
گیا	गया	gaya	gayā
بعد	बाद	baad	ba'd
جاتا	जाता	jaata	jātā
جس	जिस	jis	jis
بن	बिन	bin	bin
نہیں	नहीं	nahin	nahīñ
تو	तो	to	to
اللہ	अल्लाह	allah	allāh
آپ	आप	aap	āp
دیا	दिया	diya	diyā
اپنے	अपने	apne	apne
تھی	थी	thi	thī
ہوئے	हुए	hue	hue
پاکستان	पाकिस्तान	pakistan	pākistān
سو	सौ	sau	sau
ساتھ	साथ	saath	sāth
ہی	ही	hi	hī
تک	तक	tak	tak
کرنے	करने	karne	karne
محمد	मुहम्मद	muhammad	muhammad
نام	नाम	naam	nām
ہوا	हुआ	hua	huā
ہوتا	होता	hota	hotā
گئے	गए	gaye	gae
دو	दो	do	do
نہ	न	na	na
طور	तौर	taur	taur
اسے	इसे	ise	ise
زیادہ	ज़्यादा	zyada	zyāda
اپنی	अपनी	apni	apnī
گئی	गई	gayi	gaī
کرتے	करते	karte	karte
کچھ	कुछ	kuchh	kuchh
کسی	किसी	kisi	kisī
حاصل	हासिल	haasil	hāsil
جب	जब	jab	jab
ہوئی	हुई	hui	huī
پہلے	पहले	pehle	pahle
انہوں	उन्हों	unhon	unhoñ
علی	अली	ali	alī
بہت	बहुत	bahut	bahut
لیکن	लेकिन	lekin	lekin
رہے	रहे	rahe	rahe
خان	ख़ान	khaan	ḳhān
سال	साल	saal	sāl
وقت	वक़्त	waqt	vaqt
سب	सब	sab	sab
کہا	कहा	kaha	kahā
ہونے	होने	hone	hone
دی	दी	di	dī
اردو	उर्दू	urdu	urdū
ہزار	हज़ार	hazaar	hazār
طرح	तरह	tarah	tarah
اسی	इसी	isi	isī
والے	वाले	waale	vāle
کوئی	कोई	koi	koī
وجہ	वजह	wajah	vajah
کتاب	किताब	kitab	kitāb
زبان	ज़बान	zabaan	zabān
شہر	शहर	shehar	shahr
جن	जिन	jin	jin
کم	कम	kam	kam
کام	काम	kaam	kām
شامل	शामिल	shaamil	shāmil
عبد	अब्द	abd	abd
دور	दूर	door	dūr
شاہ	शाह	shaah	shāh
حکومت	हुकूमत	hukoomat	hukūmat
واقع	वाक़े	waaqe	vāqe
کاؤنٹی	काउंटी	county	kāunṭī
استعمال	इस्तेमाल	istemaal	istemāl
علیہ	अलैह	alaih	alaih
ہوتی	होती	hoti	hotī
طرف	तरफ़	taraf	taraf
پیدا	पैदा	paida	paidā
مطابق	मुताबिक़	mutaabiq	mutābiq
تین	तीन	teen	tīn
پھر	फिर	phir	phir
احمد	अहमद	ahmad	ahmad
انہیں	उन्हें	unhein	unheñ
ہر	हर	har	har
رہا	रहा	raha	rahā
جائے	जाए	jaaye	jāe
تمام	तमाम	tamaam	tamām
لیا	लिया	liya	liyā
الدین	अद-दीन	ad-deen	ad-dīn
جاتی	जाती	jaati	jātī
کیے	किए	kiye	kiye
کئی	कई	kai	kaī
تعلیم	तालीम	taleem	ta'līm
دنیا	दुनिया	duniya	duniyā
مشہور	मशहूर	mashhoor	mashhūr
بولا	बोला	bola	bolā
بڑا	बड़ा	bada	baṛā
موجود	मौजूद	maujood	maujūd
اسلام	इस्लाम	islam	islām
سید	सैयद	syed	sayyid
فلم	फ़िल्म	film	film
جنگ	जंग	jang	jang
شروع	शुरू	shuru	shurū
یہاں	यहाँ	yahan	yahāñ
مختلف	मुख़्तलिफ़	mukhtalif	muḳhtalif
حضرت	हज़रत	hazrat	hazrat
کرتا	करता	karta	kartā
جا	जा	ja	jā
مگر	मगर	magar	magar
صرف	सिर्फ़	sirf	sirf
ملک	मुल्क	mulk	mulk
پیش	पेश	pesh	pesh
عام	आम	aam	ām
بے	बे	be	be
ابن	इब्न	ibn	ibn
تاریخ	तारीख़	taareekh	tārīḳh
امام	इमाम	imaam	imām
ہوتے	होते	hote	hote
آباد	आबाद	aabaad	ābād
کرنا	करना	karna	karnā
علاوہ	अलावा	alaawa	alāva
لوگوں	लोगों	logon	logoñ
حصہ	हिस्सा	hissa	hissa
والی	वाली	waali	vālī
ہم	हम	hum	ham
خود	ख़ुद	khud	ḳhud
جہاں	जहाँ	jahan	jahāñ
اگر	अगर	agar	agar
عمر	उम्र	umr	umr
سی	सी	si	sī
اہم	अहम	aham	aham
زندگی	ज़िंदगी	zindagi	zindagī
علم	इल्म	ilm	ilm
گا	गा	ga	gā
لوگ	लोग	log	log
بات	बात	baat	bāt
اب	अब	ab	ab
دوسرے	दूसरे	doosre	dūsre
لے	ले	le	le
ضلع	ज़िला	zila	zila
بھارت	भारत	bhaarat	bhārat
یعنی	यानी	yaani	yā'nī
ہوں	हूँ	hoon	hūñ
لاہور	लाहौर	lahore	lāhaur
قائم	क़ाइम	qaaim	qāim
دے	दे	de	de
دونوں	दोनों	donon	donoñ
غیر	ग़ैर	ghair	ġair
صاحب	साहब	saahab	sāhab
سکتا	सकता	sakta	saktā
جانے	जाने	jaane	jāne
